ID,DLS,MLS,VEB,LAB,DOS,DES,DOB,DFD,CES,CPB,CAD,AFS,AES,AFD,OPB,NAB,HES,NOS,SOS,LAS
IMD5,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
IMD6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
IMD7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IMD8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IMD9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
IME3,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1
IME4,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1
IME7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
IME8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
IME9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMF1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IMF2,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0
IMF3,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0
IMF4,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
IMF9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
IMG3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
IMG4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
IMG6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
IMG8,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0
IMG9,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
IMH1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
IMH8,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
IMH9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
IMI1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
IMI3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
IMI9,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0
INA1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INA4,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1
INA7,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
INA8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
INB3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INB8,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0
INB9,1,1,1,0,0,0,0,1,1,0,1,0,1,1,NA,1,1,1,1,0
INC2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0
INC6,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0
IND2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IND4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INE1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
INE2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
INE3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
INE5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
INE7,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
INF4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
INF5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INF7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ING1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ING4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
ING6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
ING8,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,NA,1,0
ING9,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0
INH1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
INH2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
INH3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
INH4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INI2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
INI3,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0
INI6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
INI8,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
IOA1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
IOA2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IOA5,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0
IOA8,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0
IOB9,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0
IOC1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0
IOC4,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
IOC5,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0
IOC7,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
IOE4,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
IOE6,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
IOE7,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0
IOF2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IOF3,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
IOF4,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
IOF5,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
IOF6,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
IOF8,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
IOF9,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
IOG3,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
IOG4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IOG5,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
IOG7,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
IOH5,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
IOH7,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0
IOH8,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
IOI1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
IOI3,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
IOI5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IOI6,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
IOI9,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0
IPA1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
IPA3,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0
IPA8,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
IPB1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
IPB3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0
IPB4,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
IPB7,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0
IPB8,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0
IPC9,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
IPD1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPE2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
IPE5,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
IPE8,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0
IPG2,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
IPG7,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0
IPG9,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0
IPH4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
IPH5,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0
IPI1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0
IPI4,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
IPI5,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0
IPI7,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
IQA6,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0
IQA7,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0
IQB4,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
IQB5,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
IQD6,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0
IQD7,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
IQE1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IQE3,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
IQE7,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
IQF2,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
IQF3,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
IQF6,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0
IQF8,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
IQF9,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,NA,0,0,0
IQG1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IQG3,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
IQG4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IQG8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
IQH2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
