DNA_Tube	specimenID	speciesID	speciesIDTribe	sex	Assembly.status
KAG8	S_KAG8	NeoveB	Lamprologini	F	done
KCG2	S_KCG2	Lamspe	Lamprologini	M	done
KCG3	S_KCG3	Lamspe	Lamprologini	F	done
KCI6	S_KCI6	NeobrM	Lamprologini	M	done
KEC1	S_KEC1	Neosim	Lamprologini	M	done
KEH3	S_KEH3	Neoleu	Lamprologini	M	done
LHC1	S_LHC1	TeldhT	Lamprologini	M	done
LHF2	S_LHF2	TeldhT	Lamprologini	F	done
LJC2	S_LJC2	Jultra	Lamprologini	F	done
LJC3	S_LJC3	Neonve	Lamprologini	M	done
IRD7	S_IRD7	Ectdes	Ectodini	M	done
IUF8	S_IUF8	Xensim	Ectodini	F	done
IVB4	S_IVB4	Xenbat	Ectodini	M	done
JVH4	S_JVH4	Xenoch	Ectodini	M	done
JYG5	S_JYG5	Ophpar	Ectodini	F	done
JZE6	S_JZE6	Xenorn	Ectodini	M	done
LFI4	S_LFI4	Ophboo	Ectodini	M	done
LDG3	S_LDG3	NeocaK	Lamprologini	F	done
LEE1	S_LEE1	Neoleu	Lamprologini	F	done
LFB7	S_LFB7	Neoese	Lamprologini	M	done
LFB9	S_LFB9	Neoese	Lamprologini	F	done
LFF7	S_LFF7	Lepkam	Lamprologini	M	done
LFF8	S_LFF8	Lepkam	Lamprologini	F	done
LFG8	S_LFG8	Julmrk	Lamprologini	M	done
LFH1	S_LFH1	Julmrk	Lamprologini	F	done
LGE2	S_LGE2	Neotim	Lamprologini	M	done
LGE3	S_LGE3	Neotim	Lamprologini	F	done
LGG6	S_LGG6	Chacya	Lamprologini	M	done
LGG7	S_LGG7	Chacya	Lamprologini	F	done
LGH8	S_LGH8	Neopet	Lamprologini	M	done
LGI1	S_LGI1	Neopet	Lamprologini	F	done
LHA2	S_LHA2	LepmeK	Lamprologini	F	done
LHA5	S_LHA5	LepmeK	Lamprologini	M	done
LHF6	S_LHF6	Neobif	Lamprologini	M	done
LHF7	S_LHF7	Neobif	Lamprologini	F	done
LJC9	S_LJC9	Neocan	Lamprologini	NA	done
KYB7	S_KYB7	Telbif	Lamprologini	M	done
KEF1	S_KEF1	Chando	Lamprologini	F	done
IZC5	S_IZC5	Astbur	Haplochromini	F	failed
IRF6	S_IRF6	Neomul	Lamprologini	M	failed
Z13	S_Z13	Kondik	Oreochromini	M	NA
Z14	S_Z14	Kondik	Oreochromini	F	NA
Z01	S_Z01	Koneis	Oreochromini	M	NA
Z02	S_Z02	Koneis	Oreochromini	F	NA
Z15	S_Z15	Myamya	Oreochromini	M	NA
Z16	S_Z16	Myamya	Oreochromini	F	NA
Z03	S_Z03	Punmac	Oreochromini	M	NA
Z04	S_Z04	Punmac	Oreochromini	F	NA
Z17	S_Z17	Sthcar	Oreochromini	M	NA
Z18	S_Z18	Sthcar	Oreochromini	F	NA
Z19	S_Z19	Sthlin	Oreochromini	M	NA
Z20	S_Z20	Sthlin	Oreochromini	F	NA
Z05	S_Z05	Sthloh	Oreochromini	M	NA
Z06	S_Z06	Sthloh	Oreochromini	F	NA
Z07	S_Z07	Sthste	Oreochromini	M	NA
Z08	S_Z08	Sthste	Oreochromini	F	NA
Z11	S_Z11	Stomar	Oreochromini	M	NA
Z12	S_Z12	Stomar	Oreochromini	F	NA
Z21	S_Z21	Stomon	Oreochromini	M	NA
Z22	S_Z22	Stomon	Oreochromini	F	NA
Z09	S_Z09	Stopin	Oreochromini	M	NA
Z10	S_Z10	Stopin	Oreochromini	F	NA
KEB8	S_KEB8	Leppro	Lamprologini	F	pending Astrid
LJD1	S_LJD1	Neocan	Lamprologini	NA	pending Astrid
KDC6	S_KDC6	Ortmaz	Haplochromini	M	pending Astrid, more memory
JWG1	S_JWG1	Psephi	Haplochromini	M	pending Astrid, more memory
JWG2	S_JWG2	Ctepol	Haplochromini	M	pending Astrid, more memory
LJE8	S_LJE8	Hplkil	Haplochromini	M	pending Astrid, more memory
LEH2	S_LEH2	Neodev	Lamprologini	M	pending Astrid, more memory
LJD3	S_LJD3	Neospl	Lamprologini	M	done
JWE7	S_JWE7	Gobeth	Gobiocichlini	M	running again
