Species ID	Full Name	Tribe	Origin	Breeding type	Breeding mode	Fishbase Link
Plepar	Plecodus paradoxus	Perissodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8814
Plestr	Plecodus straeleni	Perissodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8815
Psccur	Pseudosimochromis curvifrons	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8819
Oretan	Oreochromis tanganicae	Oreochromini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/1440
Altcal	Altolamprologus calvus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8134
AltcoK	Altolamprologus compressiceps Kigoma	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8135
Altcom	Altolamprologus compressiceps	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8135
Altfas	Altolamprologus fasciatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8739
Altshe	"Altolamprologus compressiceps ""Shell"""	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Ampzal	Amphilophus zaliosus	Amphilophini	Lake Apoyo	Substrate spawning	open spawning	http://fishbase.org/summary/12324
Andbis	Andinoacara biseriatus	Cichlasomini	Ecuador	Substrate spawning	open spawning	http://www.fishbase.org/Summary/46569
Apidip	Apistogramma diplotaenia	Geophagini	Brazil	Substrate spawning	cave spawning	http://www.fishbase.org/summary/46851
Arcall	Astatoreochromis alluaudi	Haplochromini	Lake Cohoha	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/4688
Arcstr	Astatoreochromis straeleni	Haplochromini	Lake Tanganyika affluent	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/6879
Asplep	Asprotilapia leptura	Ectodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.se/summary/8137
Astbur	Astatotilapia burtoni	Haplochromini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/6704
Astfla	Astatotilapia flaviijosephi	Haplochromini	Jordan	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/6738
Astpal	Astatotilapia paludinosus	Haplochromini	Lake Tanganyika affluent	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/6811
Auldew	Aulonocranus dewindti	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8138
Aussci	Australoheros scitulus	Heroini	Uruguay	Substrate spawning	open spawning	http://www.fishbase.se/summary/61660
Baicen	Baileychromis centropomoides	Limnochromini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8139
Batfas	Bathybates fasciatus	Bathybatini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8140
