sample_id	n_sites	n_sites_missing_before	n_sites_missing_after	n_sites_nonmissing_before	n_sites_nonmissing_after	call_probability
KHA5	59265041	2307515	34041908	56957526	25223133	0.4428410917988257
KHA7	59265041	3590024	41267872	55675017	17997169	0.3232539470980314
KHA9	59265041	6319074	49611060	52945967	9653981	0.18233647522199378
KHC4	59265041	4497988	42153860	54767053	17111181	0.3124356718627895
KHC5	59265041	4975369	43876209	54289672	15388832	0.28345781864366393
KHE6	59265041	3359230	40651084	55905811	18613957	0.33295209687594013
KYA1	59265041	4922401	46529531	54342640	12735510	0.23435574716281726
KYA5	59265041	4101716	43865537	55163325	15399504	0.2791619975771946
KYB7	59265041	3281078	38798429	55983963	20466612	0.36557990723164774
KYB8	59265041	3222665	38274824	56042376	20990217	0.3745418823784345
KYB9	59265041	3001632	35861418	56263409	23403623	0.4159652501681866
KYE2	59265041	4843737	44009809	54421304	15255232	0.28031728162926783
KYE7	59265041	4769846	43752565	54495195	15512476	0.28465768403984976
KYG1	59265041	6379869	48377980	52885172	10887061	0.20586225946282258
LBA1	59265041	2205150	31907193	57059891	27357848	0.4794584693475843
LBE2	59265041	2399642	28736468	56865399	30528573	0.536856744819464
LBE9	59265041	4437713	42984048	54827328	16280993	0.2969503273987746
LBF3	59265041	1929736	28621055	57335305	30643986	0.5344697477409425
LBF7	59265041	3791968	41763576	55473073	17501465	0.31549478068395453
LBF8	59265041	4533625	44502965	54731416	14762076	0.2697185104803428
LCA1	59265041	3355695	37911477	55909346	21353564	0.38193192243744006
LCA2	59265041	2508255	31078070	56756786	28186971	0.49662732840439555
LCB4	59265041	4556932	45185838	54708109	14079203	0.2573513005174425
LCB5	59265041	5345088	47633824	53919953	11631217	0.21571266948248266
LCC2	59265041	5847411	48343819	53417630	10921222	0.20444976686535887
LCC6	59265041	4133627	43562204	55131414	15702837	0.2848255805664625
LCD1	59265041	5215176	47638432	54049865	11626609	0.2151089369048378
LCD5	59265041	5257151	47633047	54007890	11631994	0.21537582749483455
LCD6	59265041	5981493	47811482	53283548	11453559	0.21495488626245385
LCD7	59265041	6853794	49808255	52411247	9456786	0.18043428732004793
LCF1	59265041	3225571	40326007	56039470	18939034	0.3379588350853425
LCF3	59265041	4478556	45731571	54786485	13533470	0.24702205297529126
LCF6	59265041	2796166	37860422	56468875	21404619	0.37905162799860986
LCF8	59265041	3546150	42190701	55718891	17074340	0.30643718303725753
LDA4	59265041	3645267	42508034	55619774	16757007	0.301277869270019
LDA7	59265041	3016619	38775260	56248422	20489781	0.3642729924050136
LDA9	59265041	2849847	36057881	56415194	23207160	0.4113636478853551
LDC6	59265041	2246555	33456254	57018486	25808787	0.4526389388872935
LDD1	59265041	3109621	37278347	56155420	21986694	0.39153289210551717
LDD6	59265041	2964101	36449202	56300940	22815839	0.40524792303645374
LDD9	59265041	2850008	36909053	56415033	22355988	0.39627714123645025
LDE1	59265041	2726398	35947335	56538643	23317706	0.4124206872103386
LDE3	59265041	4919434	46826081	54345607	12438960	0.22888620969860546
LDE4	59265041	3098205	39388385	56166836	19876656	0.3538859835366194
LDF4	59265041	2840145	36279409	56424896	22985632	0.4073668474284826
LDF5	59265041	2583492	34036444	56681549	25228597	0.4450936406131032
LDG2	59265041	3570797	39087187	55694244	20177854	0.36229693682528485
LDG3	59265041	2591450	32181883	56673591	27083158	0.47787968826609206
LDI5	59265041	3384277	41184708	55880764	18080333	0.3235520008280488
LDI7	59265041	4877231	46848069	54387810	12416972	0.2283043203982657
LEA3	59265041	4533611	43304158	54731430	15960883	0.29162188892195945
LEA4	59265041	4950400	45376221	54314641	13888820	0.25571042621822726
LEC7	59265041	4319580	44230748	54945461	15034293	0.27362211047787915
LEE1	59265041	3525523	40898336	55739518	18366705	0.32950957702935285
LEF2	59265041	1243901	16348038	58021140	42917003	0.7396787274431353
LEF8	59265041	1124412	15014498	58140629	44250543	0.7610950167050996
LEF9	59265041	1155536	15574943	58109505	43690098	0.7518580307989201
LEH2	59265041	1829171	20522366	57435870	38742675	0.6745379673016183
LEI6	59265041	3936513	45001524	55328528	14263517	0.2577967915575126
LEI9	59265041	4319968	45750459	54945073	13514582	0.24596531157579862
LFA6	59265041	3223818	39988078	56041223	19276963	0.34397827113801566
LFA8	59265041	2909790	37437108	56355251	21827933	0.3873274027295167
LFB7	59265041	5544387	47327007	53720654	11938034	0.22222428639830036
LFB9	59265041	2250177	29921622	57014864	29343419	0.5146626149980819
LFC9	59265041	8819217	50232492	50445824	9032549	0.17905444462558487
LFD2	59265041	2186144	30127978	57078897	29137063	0.5104699728167488
LFD4	59265041	2255857	31781531	57009184	27483510	0.4820891665455166
LFE4	59265041	7847904	48577779	51417137	10687262	0.2078540856913134
LFF7	59265041	6122913	48607606	53142128	10657435	0.20054588329620524
LFF8	59265041	2360305	30288559	56904736	28976482	0.5092103757409576
LFG8	59265041	3654731	41638994	55610310	17626047	0.3169564600521019
LFH1	59265041	1907954	27513000	57357087	31752041	0.5535853137032569
LFI4	59265041	3302074	35772159	55962967	23492882	0.4197933608487913
LFI6	59265041	3566651	36813149	55698390	22451892	0.40309768379301447
LGA5	59265041	3003050	38839908	56261991	20425133	0.3630360859429948
LGA6	59265041	2373954	33941162	56891087	25323879	0.4451291113491996
LGB5	59265041	2889533	38220002	56375508	21045039	0.37330109734887
LGB8	59265041	2759490	37571817	56505551	21693224	0.38391314863914877
LGE2	59265041	2797205	36017726	56467836	23247315	0.4116912679281706
LGE3	59265041	5600469	47727083	53664572	11537958	0.21500139794276193
LGG6	59265041	2184488	31129299	57080553	28135742	0.49291291904617673
LGG7	59265041	2572688	34393166	56692353	24871875	0.43871657611388964
LGH1	59265041	2695892	30091733	56569149	29173308	0.5157105686705663
LGH3	59265041	3477701	37095657	55787340	22169384	0.3973909492727203
LGH8	59265041	2654684	34471087	56610357	24793954	0.43797558104076256
LGI1	59265041	2474848	32572902	56790193	26692139	0.4700131763947342
LHA2	59265041	3155885	37698382	56109156	21566659	0.3843696918199946
LHA5	59265041	2700466	33141279	56564575	26123762	0.4618396231210082
LHB1	59265041	2365763	34455040	56899278	24810001	0.43603366988241926
LHB3	59265041	1456360	21804984	57808681	37460057	0.6480005485681294
LHC1	59265041	1081232	12180896	58183809	47084145	0.8092310525768431
LHD2	59265041	2815010	38202037	56450031	21063004	0.37312652671528207
LHD9	59265041	2682557	36380214	56582484	22884827	0.40445073072437043
LHE3	59265041	3026253	39080400	56238788	20184641	0.3589096016791827
LHF2	59265041	1264994	16503066	58000047	42761975	0.7372748335876349
LHF6	59265041	3110750	38708149	56154291	20556892	0.36607873831048815
LHF7	59265041	3184479	39093546	56080562	20171495	0.3596878183924048
LHG4	59265041	2027907	22412581	57237134	36852460	0.6438557877478631
LHG6	59265041	1766837	16773332	57498204	42491709	0.7390093262739128
LHI4	59265041	2432543	35332982	56832498	23932059	0.42109813649225836
LHI6	59265041	2222053	33622621	57042988	25642420	0.44952799457139236
LJA7	59265041	6403152	48995354	52861889	10269687	0.19427393145182534
LJA8	59265041	1263464	14376196	58001577	44888845	0.7739245607063407
LJB1	59265041	5753101	48074783	53511940	11190258	0.2091170307038018
LJC2	59265041	1634332	22957122	57630709	36307919	0.6300099309900907
LJC3	59265041	1401676	19374973	57863365	39890068	0.6893838268825189
LJC5	59265041	7052684	33378392	52212357	25886649	0.4957954493416185
LJC8	59265041	9376810	42694517	49888231	16570524	0.3321529681018355
LJC9	59265041	4126282	41691053	55138759	17573988	0.31872295130907824
LJD1	59265041	8144768	45262418	51120273	14002623	0.2739152625417317
LJD2	59265041	8474357	51658547	50790684	7606494	0.14976159801273792
LJD3	59265041	9044923	34316775	50220118	24948266	0.4967783229820368
LJE8	59265041	1561950	7883885	57703091	51381156	0.8904402712152804
