sample_id	n_sites	n_sites_missing_before	n_sites_missing_after	n_sites_nonmissing_before	n_sites_nonmissing_after	call_probability
ILG7	59265041	2622107	26971275	56642934	32293766	0.5701287648694187
ILH1	59265041	5466000	46195464	53799041	13069577	0.24293327087373173
IMA1	59265041	3507432	39683913	55757609	19581128	0.35118306453922726
IMA2	59265041	4780031	45591429	54485010	13673612	0.2509609890867231
IMB3	59265041	6525976	49180047	52739065	10084994	0.1912243609172821
IMB4	59265041	2523193	30286882	56741848	28978159	0.5107017134866668
IMD1	59265041	1244747	9944305	58020294	49320736	0.8500600841491772
IMD2	59265041	3509488	37087969	55755553	22177072	0.39775539487519745
IMF7	59265041	4543308	42887511	54721733	16377530	0.299287487843267
IMF8	59265041	1672985	16871527	57592056	42393514	0.7361000274065576
IMG9	59265041	2872767	32118244	56392274	27146797	0.4813921318370669
IMH3	59265041	1912251	22383127	57352790	36881914	0.643070964812697
INA6	59265041	4625927	44456099	54639114	14808942	0.27103188386253846
INC7	59265041	3007725	33039565	56257316	26225476	0.46617005333137473
IND7	59265041	3130739	35005676	56134302	24259365	0.4321665031124819
IND8	59265041	3619439	38230972	55645602	21034069	0.3780005650761043
INE8	59265041	951180	7555895	58313861	51709146	0.8867385063047017
INE9	59265041	2044751	27349291	57220290	31915750	0.5577698050813793
INF1	59265041	2283463	23363951	56981578	35901090	0.6300473110800827
INF2	59265041	1586449	8927528	57678592	50337513	0.872724372328645
INH1	59265041	1939183	21529740	57325858	37735301	0.6582596809977096
INH7	59265041	1588520	24989706	57676521	34275335	0.5942684199000144
INH9	59265041	1527286	26049407	57737755	33215634	0.5752844737381978
IOD4	59265041	5285923	42761734	53979118	16503307	0.3057350251628787
IOD6	59265041	7438738	49604725	51826303	9660316	0.18639793774215382
IOD9	59265041	2180235	28599680	57084806	30665361	0.537189545673502
IOE1	59265041	3142175	38260535	56122866	21004506	0.3742593259581576
IOE2	59265041	3309532	35319866	55955509	23945175	0.4279323953607499
IOE3	59265041	2292807	25646062	56972234	33618979	0.5900940974159448
IOH4	59265041	2624934	32515655	56640107	26749386	0.4722693408753624
IOH5	59265041	1156587	9716584	58108454	49548457	0.852689300596433
IPB6	59265041	2301751	28857105	56963290	30407936	0.5338163578683746
IPC1	59265041	3592280	40274620	55672761	18990421	0.34110794325433225
IPD6	59265041	5266731	45605852	53998310	13659189	0.252955861026021
IPE3	59265041	4247317	38883709	55017724	20381332	0.3704502934363479
IPE7	59265041	4322538	39507899	54942503	19757142	0.3595966860119205
IPF3	59265041	4535762	42543264	54729279	16721777	0.3055362194703862
IPF7	59265041	4707798	42317004	54557243	16948037	0.31064687414648134
IPG3	59265041	1802457	19714179	57462584	39550862	0.6882889568627822
IPH2	59265041	2024033	19795151	57241008	39469890	0.689538695754624
IQA3	59265041	1272442	8496311	57992599	50768730	0.8754346395132248
IQA4	59265041	3291239	36050254	55973802	23214787	0.41474379389129223
IQB6	59265041	2682088	33987203	56582953	25277838	0.4467394623253403
IQB8	59265041	1096027	12062769	58169014	47202272	0.8114676312031007
IQB9	59265041	3146705	33555072	56118336	25709969	0.4581384772349629
IQC1	59265041	6436779	48872486	52828262	10392555	0.19672339400451977
IQC4	59265041	1995823	26577522	57269218	32687519	0.5707694314945946
IQD3	59265041	3686431	35102078	55578610	24162963	0.43475292023316164
IQE4	59265041	4474451	40146154	54790590	19118887	0.3489447184270146
IQI4	59265041	4515995	43174436	54749046	16090605	0.29389744982953675
IRA1	59265041	6596076	47521733	52668965	11743308	0.22296447253140442
IRA2	59265041	3342333	31219332	55922708	28045709	0.5015084212302452
IRB2	59265041	4569628	43630860	54695413	15634181	0.2858408071623849
IRB8	59265041	3231247	36350358	56033794	22914683	0.408943984767478
IRC4	59265041	1808332	21516105	57456709	37748936	0.6569978799168605
IRC5	59265041	3843938	39918146	55421103	19346895	0.34908895624109104
IRD7	59265041	2232234	21155436	57032807	38109605	0.6682049684140569
IRD8	59265041	4853749	41328101	54411292	17936940	0.3296547341680473
IRD9	59265041	4033422	37749702	55231619	21515339	0.38954749814594425
IRE3	59265041	5169595	43116848	54095446	16148193	0.29851298388407776
IRF6	59265041	4899830	43650763	54365211	15614278	0.28721084150671283
IRF8	59265041	6362792	48302790	52902249	10962251	0.20721710715928163
IRH2	59265041	7619975	50445209	51645066	8819832	0.17077782415845882
IRH4	59265041	7392552	49234859	51872489	10030182	0.19336226568962211
IRI8	59265041	2637318	31174490	56627723	28090551	0.49605651634624265
IRI9	59265041	4430526	42497956	54834515	16767085	0.3057761156454106
ISA1	59265041	8159344	47016743	51105697	12248298	0.23966600044609507
ISA3	59265041	3395614	15381426	55869427	43883615	0.7854674256816703
ISA6	59265041	4307763	42838582	54957278	16426459	0.2988950617241269
ISA8	59265041	2080745	28114128	57184296	31150913	0.5447459386402169
ISB1	59265041	3086501	32539028	56178540	26726013	0.47573349182801833
ISB3	59265041	3366198	36880335	55898843	22384706	0.40045025618866564
ISB7	59265041	5310699	45365915	53954342	13899126	0.25760903543221786
ISC1	59265041	2403243	29997886	56861798	29267155	0.5147068159891813
ISC9	59265041	2165380	25066684	57099661	34198357	0.5989239936118009
ISD8	59265041	3579906	39356038	55685135	19909003	0.3575281446296215
ISE5	59265041	4852935	45744746	54412106	13520295	0.24847953872617978
ISI2	59265041	2652207	28598222	56612834	30666819	0.5416937615241095
ISI6	59265041	3260873	34065207	56004168	25199834	0.449963545570394
ITA4	59265041	1943435	28306560	57321606	30958481	0.5400839781076615
ITA6	59265041	835620	7292288	58429421	51972753	0.8894962864684215
ITB1	59265041	2331957	34555386	56933084	24709655	0.4340122344329705
ITB3	59265041	2570187	33786556	56694854	25478485	0.44939678299550784
ITB4	59265041	3655593	41999147	55609448	17265894	0.31048490177424526
ITC2	59265041	3839205	43414197	55425836	15850844	0.28598294845746663
ITD7	59265041	3911258	39386232	55353783	19878809	0.35912286247897457
ITG2	59265041	2500121	30656100	56764920	28608941	0.5039898056757589
ITH3	59265041	1917826	17290593	57347215	41974448	0.7319352474222157
IUD8	59265041	3390598	19565655	55874443	39699386	0.7105106354259316
IUD9	59265041	3648690	24924163	55616351	34340878	0.6174601062914034
IUE5	59265041	3602705	19443553	55662336	39821488	0.715411728318409
IUE7	59265041	4851257	31075753	54413784	28189288	0.5180541753905591
IUF7	59265041	2673913	30593272	56591128	28671769	0.5066477734813839
IUF8	59265041	2874727	31001456	56390314	28263585	0.5012134708098983
IUI1	59265041	5917163	46371309	53347878	12893732	0.24169156268970998
IUI4	59265041	3748907	39673455	55516134	19591586	0.3528989608678443
IUI5	59265041	2408183	32842055	56856858	26422986	0.46472821273380954
IUI7	59265041	3862074	43402995	55402967	15862046	0.28630318661453635
IUI8	59265041	4849215	41645607	54415826	17619434	0.32379245699587467
IVB4	59265041	2448779	26522617	56816262	32742424	0.5762861344169385
IVB5	59265041	4243477	40400235	55021564	18864806	0.34286204586987024
IVE8	59265041	2366557	28362099	56898484	30902942	0.5431241718144898
IVF1	59265041	2053150	27775377	57211891	31489664	0.550404180837162
IVF4	59265041	1845164	16905183	57419877	42359858	0.7377211553413812
IVF5	59265041	5931221	45174286	53333820	14090755	0.26419924543188544
IVH1	59265041	3069998	35235569	56195043	24029472	0.42760839243418675
IVH2	59265041	3761693	39548944	55503348	19716097	0.35522356236960695
IWB5	59265041	3717059	40461310	55547982	18803731	0.33851330548785735
IWB6	59265041	1885885	24617267	57379156	34647774	0.603839031720857
IWC9	59265041	983040	7819232	58282001	51445809	0.8827049194827747
IWD4	59265041	2581529	33374834	56683512	25890207	0.45675022747355526
IWD5	59265041	3200977	32682164	56064064	26582877	0.47415180248081906
IWD6	59265041	2104620	24700577	57160421	34564464	0.6046922572526189
IWD7	59265041	6317609	46178046	52947432	13086995	0.2471695888858217
IWD8	59265041	3700767	36674145	55564274	22590896	0.40657232379208263
IXA3	59265041	3695990	27549240	55569051	31715801	0.5707457735781739
IXA4	59265041	1994827	30420390	57270214	28844651	0.5036588653222075
IXA5	59265041	4443594	39139412	54821447	20125629	0.3671123274071916
IXA6	59265041	3371875	27123371	55893166	32141670	0.5750554549012307
IXB5	59265041	1324925	21947854	57940116	37317187	0.6440647616238808
IXB6	59265041	3051283	39580781	56213758	19684260	0.3501680140295904
IXB8	59265041	3507086	39220011	55757955	20045030	0.35950081024313035
IXB9	59265041	3502720	35739296	55762321	23525745	0.42189321710622485
IXC1	59265041	3615588	38701194	55649453	20563847	0.36952469236310376
IXC2	59265041	5046324	44207136	54218717	15057905	0.27772521802756783
IXC3	59265041	5021643	43119608	54243398	16145433	0.2976478907165808
