sample_id	n_sites	n_sites_missing_before	n_sites_missing_after	n_sites_nonmissing_before	n_sites_nonmissing_after	call_probability
ILG7	60044929	2688453	13639960	57356476	46404969	0.8090624152013802
ILH1	60044929	5578522	28112002	54466407	31932927	0.5862866445366958
IMA1	60044929	3585053	21153138	56459876	38891791	0.6888394689354259
IMA2	60044929	4869232	26392711	55175697	33652218	0.6099101566401599
IMB3	60044929	6653877	31254267	53391052	28790662	0.5392413320494228
IMB4	60044929	2583522	15047667	57461407	44997262	0.7830866724164969
IMD1	60044929	1273252	5929769	58771677	54115160	0.9207693699126537
IMD2	60044929	3594925	19387833	56450004	40657096	0.7202319418790475
IMF7	60044929	4640096	24336341	55404833	35708588	0.6445031248447225
IMF8	60044929	1712668	8669679	58332261	51375250	0.8807347618498793
IMG9	60044929	2941907	16328008	57103022	43716921	0.7655798146725055
IMH3	60044929	1959966	10948473	58084963	49096456	0.8452524278960116
INA6	60044929	4726903	25686870	55318026	34358059	0.6211005974797438
INC7	60044929	3081464	17036398	56963465	43008531	0.7550195726330904
IND7	60044929	3204228	18100717	56840701	41944212	0.7379256635135446
IND8	60044929	3705651	20194342	56339278	39850587	0.7073322274382003
INE8	60044929	974994	4627580	59069935	55417349	0.938165058079038
INE9	60044929	2103681	12992378	57941248	47052551	0.8120734817448185
INF1	60044929	2332968	11658532	57711961	48386397	0.8384119368253662
INF2	60044929	1619851	5768195	58425078	54276734	0.9289972021945782
INH1	60044929	1986733	10509348	58058196	49535581	0.8532056524801425
INH7	60044929	1636507	11572674	58408422	48472255	0.8298846868350596
INH9	60044929	1573916	11805862	58471013	48239067	0.8250082310015734
IOD4	60044929	5401259	24678704	54643670	35366225	0.647215404821821
IOD6	60044929	7581232	32067217	52463697	27977712	0.533277553810209
IOD9	60044929	2240168	13610825	57804761	46434104	0.803292033332687
IOE1	60044929	3217074	19708703	56827855	40336226	0.7097967361252682
IOE2	60044929	3377642	18433608	56667287	41611321	0.734309390883668
IOE3	60044929	2351187	12759122	57693742	47285807	0.8196002783109475
IOH4	60044929	2687673	16033506	57357256	44011423	0.7673209297181163
IOH5	60044929	1182579	5798092	58862350	54246837	0.9215880269815935
IPB6	60044929	2364918	13895367	57680011	46149562	0.8000962759871874
IPC1	60044929	3679193	21445995	56365736	38598934	0.6847942870824928
IPD6	60044929	5379239	26976426	54665690	33068503	0.6049224476998278
IPE3	60044929	4339006	21578060	55705923	38466869	0.6905346312994401
IPE7	60044929	4410020	21749767	55634909	38295162	0.6883297319673876
IPF3	60044929	4637691	24167135	55407238	35877794	0.647529010559956
IPF7	60044929	4805802	23934545	55239127	36110384	0.6537102586722632
IPG3	60044929	1846180	9990394	58198749	50054535	0.8600620436016588
IPH2	60044929	2073983	10153744	57970946	49891185	0.8606239580772065
IQA3	60044929	1301285	5412250	58743644	54632679	0.9300185565607745
IQA4	60044929	3359403	18884333	56685526	41160596	0.7261217969468962
IQB6	60044929	2749932	16776264	57294997	43268665	0.7551909811601875
IQB8	60044929	1124502	6647956	58920427	53396973	0.9062557031367068
IQB9	60044929	3230042	16968045	56814887	43076884	0.758197125341462
IQC1	60044929	6565501	30727672	53479428	29317257	0.5481969066684856
IQC4	60044929	2053422	12570818	57991507	47474111	0.8186390293323469
IQD3	60044929	3770004	18518461	56274925	41526468	0.737921338855627
IQE4	60044929	4570984	22199992	55473945	37844937	0.6822110271768125
IQI4	60044929	4629298	24306142	55415631	35738787	0.6449224948823555
IRA1	60044929	6727383	29768229	53317546	30276700	0.5678562175385942
IRA2	60044929	3419777	16448260	56625152	43596669	0.7699170326288926
IRB2	60044929	4667595	25214945	55377334	34829984	0.6289573997910408
IRB8	60044929	3309371	18810674	56735558	41234255	0.7267797560041623
IRC4	60044929	1857363	10500115	58187566	49544814	0.8514673736309919
IRC5	60044929	3928587	21654803	56116342	38390126	0.6841166874348296
