File	burnin
r01/limnochromini_free_topology.log	10
r02/limnochromini_free_topology.log	10
r03/limnochromini_free_topology.log	10
r04/limnochromini_free_topology.log	10
r05/limnochromini_free_topology.log	10
r06/limnochromini_free_topology.log	10
r07/limnochromini_free_topology.log	10
r08/limnochromini_free_topology.log	10
r09/limnochromini_free_topology.log	10
r10/limnochromini_free_topology.log	10
r01/orthochromini_free_topology.log	10
r02/orthochromini_free_topology.log	10
r03/orthochromini_free_topology.log	10
r04/orthochromini_free_topology.log	10
r05/orthochromini_free_topology.log	10
r06/orthochromini_free_topology.log	10
r07/orthochromini_free_topology.log	10
r08/orthochromini_free_topology.log	10
r09/orthochromini_free_topology.log	10
r10/orthochromini_free_topology.log	10
r01/perissodini_free_topology.log	10
r02/perissodini_free_topology.log	10
r03/perissodini_free_topology.log	10
r04/perissodini_free_topology.log	10
r05/perissodini_free_topology.log	10
r06/perissodini_free_topology.log	10
r07/perissodini_free_topology.log	10
r08/perissodini_free_topology.log	10
r09/perissodini_free_topology.log	10
r10/perissodini_free_topology.log	10
r01/pseudocrenilabrini_free_topology.log	10
r02/pseudocrenilabrini_free_topology.log	10
r03/pseudocrenilabrini_free_topology.log	10
r04/pseudocrenilabrini_free_topology.log	10
r05/pseudocrenilabrini_free_topology.log	10
r06/pseudocrenilabrini_free_topology.log	10
r07/pseudocrenilabrini_free_topology.log	10
r08/pseudocrenilabrini_free_topology.log	10
r09/pseudocrenilabrini_free_topology.log	10
r10/pseudocrenilabrini_free_topology.log	10
r01/serranochromini_free_topology.log	10
r02/serranochromini_free_topology.log	10
r03/serranochromini_free_topology.log	10
r04/serranochromini_free_topology.log	10
r05/serranochromini_free_topology.log	10
r06/serranochromini_free_topology.log	10
r07/serranochromini_free_topology.log	10
r08/serranochromini_free_topology.log	10
r09/serranochromini_free_topology.log	10
r10/serranochromini_free_topology.log	10
r01/trematocarini_free_topology.log	10
r02/trematocarini_free_topology.log	10
r03/trematocarini_free_topology.log	10
r04/trematocarini_free_topology.log	10
r05/trematocarini_free_topology.log	10
r06/trematocarini_free_topology.log	10
r07/trematocarini_free_topology.log	10
r08/trematocarini_free_topology.log	10
r09/trematocarini_free_topology.log	10
r10/trematocarini_free_topology.log	10
r01/tropheini1_free_topology.log	20
r02/tropheini1_free_topology.log	20
r03/tropheini1_free_topology.log	20
r04/tropheini1_free_topology.log	20
r05/tropheini1_free_topology.log	20
r06/tropheini1_free_topology.log	20
r07/tropheini1_free_topology.log	20
r08/tropheini1_free_topology.log	20
r09/tropheini1_free_topology.log	20
r10/tropheini1_free_topology.log	20
r01/tropheini2_free_topology.log	10
r02/tropheini2_free_topology.log	10
r03/tropheini2_free_topology.log	10
r04/tropheini2_free_topology.log	10
r05/tropheini2_free_topology.log	10
r06/tropheini2_free_topology.log	10
r07/tropheini2_free_topology.log	10
r08/tropheini2_free_topology.log	10
r09/tropheini2_free_topology.log	10
r10/tropheini2_free_topology.log	10
